Rut,Nombre
760091154,Sociedad Gastronomica Y Banquetera Neatcoppa Limitada 
760221848,Japón Ya 
766021409,Restobar Pacto 
777823604,Tablas Sociedad de Gastronomia y Pubs Limitada 
776133205,McDonald's 
761953702,Asesorias Y Representaciones Copa Chile Limitada 
762436655,Barbazul Club 
965684204,Ristorante Rivoli 
761478028,Take a Wok 
763873900,Bavaria 
76263788K,Comercial Ajim Limitada 
760860522,Yokono 
786212405,Restaurant Oriental 
760360309,De La Ostia 
764348206,Ramblas 
761586858,Fuente de Soda Las Cabras 
969606402,Tavelli 
764226801,Machu Picchu 
,¿Qué Buscas? 
779202909,Subterráneo 
77839670K,Los Insaciables 
762444755,SOCIEDAD GASTRONOMICA COOK ELITE SPA 
760704253,Galindo Bar y Restaurante 
76080326K,La Bifería Restaurant 
76937020K,Paijan 
769045805,Cocina India Tradicional Rishtedar 
762966034,Uncle Fletch Chile Spa 
