RutId,Rut,Nombre
857037006,857037006,El Hoyo 
760949132,760949132,Restaurant Panda Junior 
774455906,774455906,Administradora De Franquicias Renacimiento Limitada 
767565704,767565704,La Casa del Chef 
796693800,796693800,Bar Nacional Nº 1 
700081702,700081702,Club de La Unión 
820751000,820751000,Fuente Alemana 
778275902,,¿Qué Buscas? 
76934540K,76934540K,Sabores del Aji Seco 
761565753,761565753,INVERSIONES SEGUNDO PEREZ VARGAS E.I.R.L. 
789455309,789455309,Nuria Restaurant 
774383204,774383204,El Galeón Restaurant 
815171004,815171004,El Naturista 
761270729,761270729,Restaurante De Turismo Chilenazo Santiago Limitada 
797505005,797505005,El Pollo Caballo 
768343004,768343004,Bar Nacional El Bosque 
85732000K,85732000K,Pizza Inn 
771713300,771713300,Las Vacas Gordas Restaurant 
812567004,812567004,Avicola Montserrat Ltda 
965626409,,¿Qué Buscas? 
760365955,760365955,Bariloche Restaurant 
760250678,760250678,Helsinki Club 
780668903,780668903,El Reloj 
761955918,761955918,Servicios Alimenticios Case Sa 
760546372,760546372,Santiago Resto Bar 
760657646,760657646,GASTRONOMICA MONTENEGRO Y SAAVEDRA SPA 
762951177,762951177,P Y B LIMITADA 
969795906,969795906,María del Mar 
760882232,760882232,La Dolce Vita 
764084799,764084799,INVERSIONES FONTENA Y ALLEN LIMITADA 
761545191,761545191,Cascarrabia 
774093605,774093605,Administradora De Resorts Limitada 
761899791,761899791,AL SHAM SERVICIOS DE ALIMENTACION Y RESTAURANT LIMITADA 
762575736,762575736,AROMAS SPA 
760681946,760681946,A. Violeta de Persia Comida China 
763240614,763240614,Bautista Gourmet 
760182117,760182117,Finitezza 
762263998,762263998,Consorcio Gastronomico Partners Limitada 
764347420,764347420,Carnal Prime 
761387073,761387073,Luco´s Hamburgueseria 
76233822K,76233822K,Inverdog Spa 
76248420K,76248420K,Emilio Restaurant 
763294137,763294137,Inversiones Y Servicios Gastronomicos Aria Limitada 
795752005,795752005,Restaurante Alemán Tante Marlene 
762322889,762322889,Saffron Chile 
762175843,762175843,Kanayalal Dharamda Sani E.I.R.L 
763809749,763809749,La Ermita 
760494003,760494003,Hanabi 
995557703,995557703,El Otro Puerto Callao 
761354574,761354574,Soledad Gonzalez Cafeteria Y Restaurante E.I.R.L. 
763075613,763075613, FUY SPA. 
789212406,789212406,El Ranchero Taquería 
700253805,700253805,Club Deportivo Estadio Croata 
764311612,,¿Qué Buscas? 
762672456,762672456,Comercial El Porvenir Sa 
773516502,773516502,Ibis Puerto Varas 
762999900,762999900,Del Monico Bistro & Bartini 
761630245,761630245,Europeo Restaurant 
786066409,786066409,Barbazul Vitacura 
760613193,760613193,Mezzanote 
761884980,761884980,Hijo del Sol 
760298387,760298387,La Cascade 
760631280,760631280,La Boqueria de Barcelona 
761840061,761840061,Inversiones Jua y Medio SPA 
762298538,762298538,INVERSIONES MANCORA SPA. 
777406604,777406604,Tip y Tap 
760948446,760948446,Inversiones Y Producciones Tabogo Limitada 
76113728K,76113728K,La Rambla 
784098303,784098303,Tip y Tap 
760270695,760270695,Gran Museo Perú Fusión Restaurant 
773443203,773443203,Radnic y Cia. Ltda. 
761126652,761126652,Restaurant La Cosecha SPA 
789110204,789110204,Teclados 
96791620K,96791620K,Acuarela Restaurant 
773228701,773228701,Restaurant El Apero 
776617903,776617903,Teclados 
787257402,787257402,Pub El Barril 
769639500,769639500,SOCIEDAD GASTROMICA FILA DOS LIMITADA 
761230166,761230166,Museo Peruano Restaurant 
768175306,768175306,Osadia Restoran 
