Rut,Nombre
863096006,Fong Kung Restaurant 
761676156,Roberto Carlos Espinosa Restaurantes E I R L 
76361848K,SOCIEDAD COMERCIAL FGM SPA. 
760477168,Sociedad Mercado Central Limitada 
762811901,Central de Restaurantes Santa Francisca Limitada 
768249709,COM DI HAI LTDA 
760349216,Comercial Minghui Ltda. 
760933066,Chicken Space 
764347021,Alturas de Machu
762903806,Hatuchay Transportes E Hijo Ltda. 
760952796,Nicolas Aguirre Y Stefan Feddersen Limitada 
760659037,Cruz Coke 350 
520004408,Restaurant Gabriel Antonio Lazo Klopping e I R L 
762407760,Restaurante El Meson De La Negra Limitada 
762627647,RESTAURANTE VICUNA MACKENNA 2 SPA 
761957996,RODRIGUEZ Y SOTO LIMITADA. 
760990930,Sociedad Distribuidora Y Comercializadora Entre Familia Limitada 
762586533,ATENAS SOTO LIMITADA 
761647091,BAR Y RESTAURANTE LOS UNIVERSITARIOS SPA. 
760488658,Carvajal Y Carvajal Limitada 
762818728,CENTRO DE EVENTOS GASTRONOMICOS PUPUYA SPA 
762070413,COMERCIAL CAFE COLTRANE LIMITADA 
761419587,Comercial Gastrosantiago Limitada. 
76363051K,COMERCIAL MAURICIO JAVIER ROJAS DIAZ E.I.R.L 
760829293,Comercial Y Gastronomia Andis Limitada 
760177784,DISTRIBUIDORA Y COMERCIALIZADORA DE ALIMENTOS HERMANO LIMITA 
77944130K,Elaboradora de Alimentos Santa Rosa Limitada 
761883844,Empresa Gastronomica Rodrigo Israel Meneses Morales Eirl 
850635005,Briones Maiolini Leonardo 
764668359,FUNDOS DEL SUR SPA 
762789442,GASTRONOMIA VICTOR ENRIQUE GONZALEZ ORELLANA E.I.R.L. 
761241834,Akarui Sushi 
762318210,Gionata Nardone Servicios Gastronomicos E.I.R.L. 
762055961,GRUPO GASTRONOMICO ICONO SPA 
767431104,Bar Constitucion 
875886002,Fuente Holandesa 
969958201,Restaurant Zully 
533049907,Restaurant Lin Xiang y Otros 
533069835,Liu Juanyun Y Otros 
760750700,LORENA ELIZABETH VERGARA MILLA RESTAURANT Y EVENTOS E I R L 
510118200,MILLANAO HUENCHUNIR ROSA ESTER Y OTRO 
762281554,ODILON MARROQUIN QUISPE INVERSIONES EMPRESA INDIVIDUAL DE RE 
797298301,Restaurant El Diamante Limitada 
894982004,Restaurant Kuan Hwa 
761265202,Restaurant La Buena Vida Limitada 
842004004,Restaurant Pekín Ltda. 
761260863,Restaurante Amunategui Limitada 
